0.01889214608263355+0.1376257673655007i,0.01889214608263355-0.1376257673655007i,0.1126677750868085-0.1349782917157509i,0.1126677750868085+0.1349782917157509i,0.3185010182883981+0i,0.3185010182883981-0i,-0.4013842060855682+0i,-0.4013842060855682-0i,-0.3077722786795207+0i,0.2460880012222528+0i,0.3661307307563805+0i,0.5956285783828769+0i,0.5956285783828769-0i,0.6074613332569162+0i,0.7486040297294604+0i,0.7486040297294604-0i,0.7472467298365391+0i,0.7472467298365391-0i,0.754073512350953+0i,0.754073512350953-0i,-0.7587798284039313+0i,0.7591040253506571+0i,0.7591040253506571-0i,0.7621548227886222+0i
-0.01877439761171161-0.1198041439025412i,-0.01877439761171161+0.1198041439025412i,-0.09140170663044919+0.1193375351909424i,-0.09140170663044919-0.1193375351909424i,-0.2640140386921486+0.008646547462248681i,-0.2640140386921486-0.008646547462248681i,0.3283510861115954-0.002768102704170417i,0.3283510861115954+0.002768102704170417i,0.2559201548301809+0i,-0.2140741025832053+0i,-0.3177239677316531+0i,-0.507601426364737+0.01002176149341665i,-0.507601426364737-0.01002176149341665i,-0.5237635940041778+0i,-0.6313817902015509+0.002415678004908592i,-0.6313817902015509-0.002415678004908592i,-0.635222382334808+0.003747780600074946i,-0.635222382334808-0.003747780600074946i,-0.641525482723998+0.002023489200236533i,-0.641525482723998-0.002023489200236533i,0.6440313124927863+0i,-0.6429148017785234+0.001148908486666661i,-0.6429148017785234-0.001148908486666661i,-0.6460995088421759+0i
0.007864212460724286-0.00135183355784351i,0.007864212460724286+0.00135183355784351i,-0.01528792768631655-0.0001052237916467429i,-0.01528792768631655+0.0001052237916467429i,-0.02717461282989921-0.01264289612200142i,-0.02717461282989921+0.01264289612200142i,0.03830556131144106+0.003762022530339017i,0.03830556131144106-0.003762022530339017i,0.02445659875488215+0i,0.003784797922717419+0i,0.002351946952353083+0i,-0.02598666558870157-0.02077910598807812i,-0.02598666558870157+0.02077910598807812i,-0.007473116994431871+0i,-0.04132215694900549-0.004386145826519322i,-0.04132215694900549+0.004386145826519322i,-0.0319168830966178-0.007617162652764005i,-0.0319168830966178+0.007617162652764005i,-0.03038860267092961-0.003951312588865685i,-0.03038860267092961+0.003951312588865685i,0.03007660579408851+0i,-0.03614545653445388-0.004178573654877126i,-0.03614545653445388+0.004178573654877126i,-0.03583096694461801+0i
0.03650479624119135+0.02136323822278443i,0.03650479624119135-0.02136323822278443i,-0.04239000765890038-0.02846520048416623i,-0.04239000765890038+0.02846520048416623i,-0.05372113559177066-0.05696374560171169i,-0.05372113559177066+0.05696374560171169i,0.0881685227223729+0.01727567230561933i,0.0881685227223729-0.01727567230561933i,0.07648343757428487+0i,0.06391999146446248+0i,0.08129977957675222+0i,0.007172590580374832-0.08917356734022862i,0.007172590580374832+0.08917356734022862i,0.08695680334786413+0i,-0.03026669684348447-0.01918636780257033i,-0.03026669684348447+0.01918636780257033i,0.01045976810696743-0.03294878826698856i,0.01045976810696743+0.03294878826698856i,0.01780721907159876-0.01741173239978766i,0.01780721907159876+0.01741173239978766i,-0.01652811931573338+0i,-0.006449691476624923-0.01603808244966116i,-0.006449691476624923+0.01603808244966116i,-0.003624539205027518+0i
-0.1537702929106188-0.08787628863392652i,-0.1537702929106188+0.08787628863392652i,0.1788042078689728+0.1112165157399972i,0.1788042078689728-0.1112165157399972i,0.2217582295656559+0.2225602651998331i,0.2217582295656559-0.2225602651998331i,-0.350212749921455-0.06608482628171947i,-0.350212749921455+0.06608482628171947i,-0.3077722506287687+0i,-0.2654130718128871+0i,-0.3372848294112069+0i,-0.0237896479561785+0.3665124644740138i,-0.0237896479561785-0.3665124644740138i,-0.359505651921084+0i,0.1233796384121667+0.07768530616333558i,0.1233796384121667-0.07768530616333558i,-0.04217052524805816+0.1350103642370985i,-0.04217052524805816-0.1350103642370985i,-0.07289543661031529+0.07117863607707263i,-0.07289543661031529-0.07117863607707263i,0.06912421598508109+0i,0.02614715472280167+0.0662254719111659i,0.02614715472280167-0.0662254719111659i,0.01482690470807429+0i
0.1356679992860221+0.07414351807606971i,0.1356679992860221-0.07414351807606971i,-0.1567215712757037-0.08859086685068744i,-0.1567215712757037+0.08859086685068744i,-0.1898633292354319-0.1784659644612202i,-0.1898633292354319+0.1784659644612202i,0.2869461843464254+0.05164527978608816i,0.2869461843464254-0.05164527978608816i,0.255920131505296+0i,0.230885150352701+0i,0.292691831780511+0i,0.01410704428380652-0.3127463501349154i,0.01410704428380652+0.3127463501349154i,0.3099719471944797+0i,-0.1043105788366081-0.06512260188689431i,-0.1043105788366081+0.06512260188689431i,0.03517134466983016-0.1149816354576679i,0.03517134466983016+0.1149816354576679i,0.06182454388707072-0.06075059161657245i,0.06182454388707072+0.06075059161657245i,-0.05867072091195224+0i,-0.02224527764109086-0.05604936087493276i,-0.02224527764109086+0.05604936087493276i,-0.01256917303821061+0i
-0.004746238953612582+0.008998385647996427i,-0.004746238953612582-0.008998385647996427i,-0.002414017473788543-0.01815003855432362i,-0.002414017473788543+0.01815003855432362i,-0.01008595744449219-0.0277916075317148i,-0.01008595744449219+0.0277916075317148i,0.03280269417469975+0.009589128227148766i,0.03280269417469975-0.009589128227148766i,0.02445659652587748+0i,-0.004082014717785101+0i,-0.002166646937748228+0i,0.01382407639593454-0.01516063795426532i,0.01382407639593454+0.01516063795426532i,0.004422714088748177+0i,-0.006355260608320836-0.005011041019065265i,-0.006355260608320836+0.005011041019065265i,0.003177461384389792-0.005336778473547361i,0.003177461384389792+0.005336778473547361i,0.003310604947096412-0.002486477251017694i,0.003310604947096412+0.002486477251017694i,-0.002739953959214832+0i,-0.00088047594269459-0.00329731847641989i,-0.00088047594269459+0.00329731847641989i,-0.000697053035160509+0i
-0.0499631505473316+0.02028777050249437i,-0.0499631505473316-0.02028777050249437i,0.02672216106886943-0.0550046801014186i,0.02672216106886943+0.0550046801014186i,0.002401130184496787-0.0772002855448968i,0.002401130184496787+0.0772002855448968i,0.07408383425420138+0.02958951057975796i,0.07408383425420138-0.02958951057975796i,0.07648343060348767+0i,-0.06893957121263446+0i,-0.07489451166544944+0i,0.05458534346225917+0.007975190910405243i,0.05458534346225917-0.007975190910405243i,-0.05146247269589583+0i,-0.00299730587395392-0.006303044794546714i,-0.00299730587395392+0.006303044794546714i,0.005362798965920165+0.00374929015758425i,0.005362798965920165-0.00374929015758425i,-7.787257358983426e-05+0.003364034619592715i,-7.787257358983426e-05-0.003364034619592715i,0.001505698025486477+0i,0.0011770303779034-0.001115109466845817i,0.0011770303779034+0.001115109466845817i,-7.051152311264581e-05+0i
0.2083261684776983-0.08710093102110007i,0.2083261684776983+0.08710093102110007i,-0.1022171808650754+0.2305438402461903i,-0.1022171808650754-0.2305438402461903i,-0.001118863819152282+0.3099178184585146i,-0.001118863819152282-0.3099178184585146i,-0.2946846541282363-0.1153196782001372i,-0.2946846541282363+0.1153196782001372i,-0.3077722225780192+0i,0.2862557229091862+0i,0.3107115753871038+0i,-0.2245786117719678-0.02927731414453089i,-0.2245786117719678+0.02927731414453089i,0.2127613836262734+0i,0.01227288127789655+0.02560708893815263i,0.01227288127789655-0.02560708893815263i,-0.02201340547229526-0.01523849552357479i,-0.02201340547229526+0.01523849552357479i,0.0003280137025944589-0.01376151706479793i,0.0003280137025944589+0.01376151706479793i,-0.006297159013308709+0i,-0.00487698563849619+0.00456224075442615i,-0.00487698563849619-0.00456224075442615i,0.0002884415300510184+0i
-0.1803777261777541+0.07948023579020862i,-0.1803777261777541-0.07948023579020862i,0.07904875706678406-0.2005948964706457i,0.07904875706678406+0.2005948964706457i,-0.007486077701950969-0.2569295685859017i,-0.007486077701950969+0.2569295685859017i,0.2418611432254523+0.0923046388905156i,0.2418611432254523-0.0923046388905156i,0.2559201081804141+0i,-0.2490163546647128+0i,-0.2696318726051733+0i,0.1918810447884856+0.02117180671624043i,0.1918810447884856-0.02117180671624043i,-0.1834465189017534+0i,-0.01043372988054958-0.02155772836554648i,-0.01043372988054958+0.02155772836554648i,0.01878966858561059+0.01284359185862522i,0.01878966858561059-0.01284359185862522i,-0.0002421287377798192+0.01170844415774236i,-0.0002421287377798192-0.01170844415774236i,0.005344854241643359+0i,0.004123604345902874-0.003871320955161129i,0.004123604345902874+0.003871320955161129i,-0.0002445197817090867+0i
-0.00540489972087863-0.01179056418514159i,-0.00540489972087863+0.01179056418514159i,0.02112634178357042-0.005877318108108152i,0.02112634178357042+0.005877318108108152i,0.01239764788647428-0.02639787807222618i,0.01239764788647428+0.02639787807222618i,0.0270419854446285+0.01376734616884394i,0.0270419854446285-0.01376734616884394i,0.02445659429687226+0i,0.004402571681884987+0i,0.001995945932435332+0i,0.008776766358375212+0.009111991508885036i,0.008776766358375212-0.009111991508885036i,-0.002617435258324971+0i,-0.0005274156756127556-0.001485392478461347i,-0.0005274156756127556+0.001485392478461347i,0.0007849150308893194+0.0008752731114137865i,0.0007849150308893194-0.0008752731114137865i,-8.532846286797246e-05+0.0005528601425862741i,-8.532846286797246e-05-0.0005528601425862741i,0.0002496075438166741+0i,0.0002573356548190385-0.0001903894938745952i,0.0002573356548190385+0.0001903894938745952i,-1.356041924733297e-05+0i
0.01833051600535071-0.06626200644865148i,0.01833051600535071+0.06626200644865148i,0.06967711318453265+0.02255991209444881i,0.06967711318453265-0.02255991209444881i,0.05561736191061652-0.05207331066910629i,0.05561736191061652+0.05207331066910629i,0.05976738817508558+0.03801455302575299i,0.05976738817508558-0.03801455302575299i,0.07648342363269163+0i,0.07435333406801652+0i,0.06899388789007453+0i,-0.007087593062138033+0.03326986395812753i,-0.007087593062138033-0.03326986395812753i,0.03045634147084763+0i,0.000160094582619092-0.001349864510474678i,0.000160094582619092+0.001349864510474678i,-0.0009800579243201158+0.0007573454441082732i,-0.0009800579243201158-0.0007573454441082732i,-0.0003100106778157845-0.0003325479967617031i,-0.0003100106778157845+0.0003325479967617031i,-0.0001371678471487439+0i,0.0001378264935832108+6.42763716677858e-05i,0.0001378264935832108-6.42763716677858e-05i,-1.371726062392705e-06+0i
-0.0738951034921735+0.2782360174660859i,-0.0738951034921735-0.2782360174660859i,-0.2904162139339173-0.08295108700285565i,-0.2904162139339173+0.08295108700285565i,-0.2173415629813157+0.2150002925324774i,-0.2173415629813157-0.2150002925324774i,-0.2381295545067015-0.1491354290749524i,-0.2381295545067015+0.1491354290749524i,-0.307772194527272+0i,-0.3087351287506646+0i,-0.2862319163541028+0i,0.02698518381450475-0.1370222424412166i,0.02698518381450475+0.1370222424412166i,-0.1259157015214427+0i,-0.0006346090468440526+0.005493980462599793i,-0.0006346090468440526-0.005493980462599793i,0.003995563423852124-0.003117340548554465i,0.003995563423852124+0.003117340548554465i,0.001267270759821837+0.001361272271219011i,0.001267270759821837-0.001361272271219011i,0.0005736659877270884+0i,-0.0005660039081030945-0.0002683308923709569i,-0.0005660039081030945+0.0002683308923709569i,5.611320628882626e-06+0i
0.05987389272491993-0.2440677951883484i,0.05987389272491993+0.2440677951883484i,0.2510471360402271+0.06044522780490975i,0.2510471360402271-0.06044522780490975i,0.1743235041537821-0.1841198185376923i,0.1743235041537821+0.1841198185376923i,0.1958296286957018+0.1203575335508035i,0.1958296286957018-0.1203575335508035i,0.2559200848555339+0i,0.2685713862315381+0i,0.2483887106869831+0i,-0.02069160884687436+0.1172259480437784i,-0.02069160884687436-0.1172259480437784i,0.1085666803133558+0i,0.0005175084462895404-0.004635738111347115i,0.0005175084462895404+0.004635738111347115i,-0.003380929092844708+0.002670040436743226i,-0.003380929092844708-0.002670040436743226i,-0.001081779153245634-0.001154697158771386i,-0.001081779153245634+0.001154697158771386i,-0.0004869118091682199+0i,0.000479776902586158+0.0002264032465204218i,0.000479776902586158-0.0002264032465204218i,-4.756870118596378e-06+0i
0.01611663555852328+0.003701892831140046i,0.01611663555852328-0.003701892831140046i,0.01047930356009882+0.02408130812567516i,0.01047930356009882-0.02408130812567516i,0.02707808985006503-0.009716524363877667i,0.02707808985006503+0.009716524363877667i,0.0213277833960063+0.01646443724276403i,0.0213277833960063-0.01646443724276403i,0.02445659206786752+0i,-0.004748301697611788+0i,-0.001838693741835536+0i,-0.005957495618630518+0.005036734815662583i,-0.005957495618630518-0.005036734815662583i,0.001549041424349229+0i,6.721953411094039e-05-0.0002995437190059899i,6.721953411094039e-05+0.0002995437190059899i,-0.0002024381167110459+9.242052807219632e-05i,-0.0002024381167110459-9.242052807219632e-05i,-4.393706288835035e-05-6.149870579485567e-05i,-4.393706288835035e-05+6.149870579485567e-05i,-2.273904118747626e-05+0i,2.547375407751153e-05+1.589246166946643e-05i,2.547375407751153e-05-1.589246166946643e-05i,-2.638034136281301e-07+0i
0.05271797879174357+0.07002688493943325i,0.05271797879174357-0.07002688493943325i,-0.01518658320182439+0.08638844515892946i,-0.01518658320182439-0.08638844515892946i,0.07511140049510998+0.002607620030233146i,0.07511140049510998-0.002607620030233146i,0.04588899103720363+0.04300841526725737i,0.04588899103720363-0.04300841526725737i,0.07648341666189643+0i,-0.0801922348773889+0i,-0.0635581494602913+0i,-0.02018910597079119-0.005690072092760457i,-0.02018910597079119+0.005690072092760457i,-0.01802456600307988+0i,0.0001664659079319231-0.0002058615668922335i,0.0001664659079319231+0.0002058615668922335i,-8.152585269079815e-05-0.0002198144547840977i,-8.152585269079815e-05+0.0002198144547840977i,6.135831029071897e-05+2.88445909575071e-06i,6.135831029071897e-05-2.88445909575071e-06i,1.249587764152551e-05+0i,-8.601751171241155e-07+1.423819193873685e-05i,-8.601751171241155e-07-1.423819193873685e-05i,-2.668545955782941e-08+0i
-0.2237544861899881-0.2909369625621346i,-0.2237544861899881+0.2909369625621346i,0.05015731029559741-0.3582296245727212i,0.05015731029559741+0.3582296245727212i,-0.3015619945518314-0.002177423707133645i,-0.3015619945518314+0.002177423707133645i,-0.1832170177189723-0.1693287327670401i,-0.1832170177189723+0.1693287327670401i,-0.3077721664765277+0i,0.3329798222232513+0i,0.2636809067627101+0i,0.08323709362050898+0.02207771354706306i,0.08323709362050898-0.02207771354706306i,0.07451899221282801+0i,-0.000674721707292245+0.000839623485660701i,-0.000674721707292245-0.000839623485660701i,0.0003377442343852934+0.0008978324490537487i,0.0003377442343852934-0.0008978324490537487i,-0.0002509990814365864-1.197221780582015e-05i,-0.0002509990814365864+1.197221780582015e-05i,-5.226049791310968e-05+0i,3.913756372786705e-06-5.862169582985803e-05i,3.913756372786705e-06+5.862169582985803e-05i,1.091622250072655e-07+0i
0.2001215344484833+0.2502098550328645i,0.2001215344484833-0.2502098550328645i,-0.03000167305607316+0.3077976309514669i,-0.03000167305607316-0.3077976309514669i,0.2500319393736104-0.006381768205206377i,0.2500319393736104+0.006381768205206377i,0.1510478617892935+0.1372553004240905i,0.1510478617892935-0.1372553004240905i,0.2559200615306561+0i,-0.2896620569337698+0i,-0.2288192082064624+0i,-0.07130706377962227-0.01741437023698941i,-0.07130706377962227+0.01741437023698941i,-0.06425155486637875+0i,0.0005663591466438391-0.0007103259784102961i,0.0005663591466438391+0.0007103259784102961i,-0.0002916139576390005-0.0007615389311377238i,-0.0002916139576390005+0.0007615389311377238i,0.0002135687434949206+9.511789976979574e-06i,0.0002135687434949206-9.511789976979574e-06i,4.435726386284535e-05+0i,-3.225988608480193e-06+4.965492375685915e-05i,-3.225988608480193e-06-4.965492375685915e-05i,-9.253980629111852e-08+0i
-0.01626775840286808+0.01341041241616614i,-0.01626775840286808-0.01341041241616614i,-0.02682186943389023+0.01642830645195954i,-0.02682186943389023-0.01642830645195954i,0.02564293686816363+0.01215628018546657i,0.02564293686816363-0.01215628018546657i,0.01589801517120538+0.01787688353105545i,0.01589801517120538-0.01787688353105545i,0.02445658983886385+0i,0.005121181582190265+0i,0.001693830790365827+0i,-0.002861345859781296-0.003867038340645597i,-0.002861345859781296+0.003867038340645597i,-0.0009167483041728516+0i,4.216336818765563e-05-4.239307349649013e-05i,4.216336818765563e-05+4.239307349649013e-05i,-5.273770080866181e-06-4.179163967976357e-05i,-5.273770080866181e-06+4.179163967976357e-05i,1.005234271817053e-05+1.797695818813555e-06i,1.005234271817053e-05-1.797695818813555e-06i,2.071507881825953e-06+0i,-5.090469455889685e-07+2.769783809688277e-06i,-5.090469455889685e-07-2.769783809688277e-06i,-5.132013591852069e-09+0i
-0.1117449074643801-0.00115054637985884i,-0.1117449074643801+0.00115054637985884i,-0.1049848011172453-0.003666092408706523i,-0.1049848011172453+0.003666092408706523i,0.05047462226311206+0.05430147290564158i,0.05047462226311206-0.05430147290564158i,0.03295771455404953+0.04508065117437583i,0.03295771455404953-0.04508065117437583i,0.07648340969110333+0i,0.08648965934395858+0i,0.05855067001373975+0i,0.004307674551670026-0.0121958455933592i,0.004307674551670026+0.0121958455933592i,0.01066723591572341+0i,4.879872526510552e-05-1.665389200114057e-05i,4.879872526510552e-05+1.665389200114057e-05i,4.431630987647395e-05-2.32472620060529e-06i,4.431630987647395e-05+2.32472620060529e-06i,-6.203709063622705e-06+5.512906719604874e-06i,-6.203709063622705e-06-5.512906719604874e-06i,-1.138364136786482e-06+0i,-1.271791586653707e-06+4.153880021366407e-07i,-1.271791586653707e-06-4.153880021366407e-07i,-5.191379010853131e-10+0i
0.4679369059737289+0i,0.4679369059737289-0i,0.4332151653696975+0i,0.4332151653696975-0i,-0.2084428061648335-0.2122397581999084i,-0.2084428061648335+0.2122397581999084i,-0.131980468875406-0.1779067159300493i,-0.131980468875406+0.1779067159300493i,-0.3077721384257868+0i,-0.3591284297854279+0i,-0.2429065964299766+0i,-0.01690976343606244+0.05033709323844823i,-0.01690976343606244-0.05033709323844823i,-0.04410157060094404+0i,-0.0001983335941613275+6.83625489904521e-05i,-0.0001983335941613275-6.83625489904521e-05i,-0.0001812781941019281+1.0353884242631e-05i,-0.0001812781941019281-1.0353884242631e-05i,2.539388196454582e-05-2.253500746440423e-05i,2.539388196454582e-05+2.253500746440423e-05i,4.760888217090365e-06+0i,5.249060644088605e-06-1.677767665522069e-06i,5.249060644088605e-06+1.677767665522069e-06i,2.123634872373135e-09+0i
-0.4084089441894621+0.007771161718740776i,-0.4084089441894621-0.007771161718740776i,-0.3700520649520103+0.01553092237864639i,-0.3700520649520103-0.01553092237864639i,0.1785456402624769+0.1702725015077581i,0.1785456402624769-0.1702725015077581i,0.109193121447516+0.1446258398543263i,0.109193121447516-0.1446258398543263i,0.2559200382057872+0i,0.3124089591389547+0i,0.2107915045712841+0i,0.01356374423614365-0.04318235705343146i,0.01356374423614365+0.04318235705343146i,0.03802513156735241+0i,0.0001670563780822488-5.829781424130407e-05i,0.0001670563780822488+5.829781424130407e-05i,0.0001540497370303805-9.710862054291205e-06i,0.0001540497370303805+9.710862054291205e-06i,-2.154328826501179e-05+1.923972338250521e-05i,-2.154328826501179e-05-1.923972338250521e-05i,-4.040910108429641e-06+0i,-4.443094856458041e-06+1.428911348347202e-06i,-4.443094856458041e-06-1.428911348347202e-06i,-1.800274679038827e-09+0i
-0.0009087097186510853-0.02686359389171668i,-0.0009087097186510853+0.02686359389171668i,-0.02393936177135662-0.02908443604604054i,-0.02393936177135662+0.02908443604604054i,0.00935955355761958+0.0263825027846709i,0.00935955355761958-0.0263825027846709i,0.01092792591808744+0.01821529098903113i,0.01092792591808744-0.01821529098903113i,0.0244565876098615+0i,-0.005523343390536999+0i,-0.001560380981954217+0i,0.002493816141531782-0.001606241669298586i,0.002493816141531782+0.001606241669298586i,0.0005425467905415424+0i,1.134834929389929e-05-2.611484623307944e-06i,1.134834929389929e-05+2.611484623307944e-06i,7.848414603188722e-06+1.405642520712693e-06i,7.848414603188722e-06-1.405642520712693e-06i,-1.141437057284626e-06+7.750812261369293e-07i,-1.141437057284626e-06-7.750812261369293e-07i,-1.887126538845503e-07+0i,-2.591744550850852e-07+5.099444924484921e-08i,-2.591744550850852e-07-5.099444924484921e-08i,-9.984179300307019e-11+0i
0.08801593482489257-0.1120366614708384i,0.08801593482489257+0.1120366614708384i,-0.01308626622942229-0.1251282221979745i,-0.01308626622942229+0.1251282221979745i,-0.00280120718092509+0.07307808287766708i,-0.00280120718092509-0.07307808287766708i,0.02133383604474659+0.04475966763162928i,0.02133383604474659-0.04475966763162928i,0.07648340272032123+0i,-0.09328161492033769+0i,-0.05393770882519998+0i,0.007332508079992066+0.003137779745805434i,0.007332508079992066-0.003137779745805434i,-0.006313046431313373+0i,9.770895527350082e-06+2.319240438253657e-06i,9.770895527350082e-06-2.319240438253657e-06i,-2.080945796781048e-06+8.13813673264338e-06i,-2.080945796781048e-06-8.13813673264338e-06i,7.933031860216502e-08-1.118508049516938e-06i,7.933031860216502e-08+1.118508049516938e-06i,1.037040435152275e-07+0i,-8.004569280856061e-08-9.664523234780618e-08i,-8.004569280856061e-08+9.664523234780618e-08i,-1.011176955432058e-11+0i
